Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Comment~String~Comment~100|Field=Quantity~Integer~Quantity~100|Field=Description~String~Description~100|Field=LogicalDesignator~String~LogicalDesignator~100|Field=PhysicalPath~String~PhysicalPath~100|Field=Project~String~Project~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Leningrad.PrjPcb|ReportField=ProjectFullPath~D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [Leningrad_modify.PcbDoc]|ReportField=TotalQuantity~250|ReportField=ReportTime~15:04:24|ReportField=ReportDate~26.04.2026|ReportField=ReportDateTime~26.04.2026 15:04:24|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~Leningrad_modify.PcbDoc|ReportField=DataSourceFullPath~D:\Altium\Project\Leningrad modify\Leningrad_modify.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
4|C1|Cap Pol1|Cap Pol1|1|Polarized Capacitor (Radial)|C1|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
5|C2|Cap|Cap|1|Capacitor|C2|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
6|C3|Cap|Cap|1|Capacitor|C3|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
7|C4|Cap|Cap|1|Capacitor|C4|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
8|C5|Cap|Cap|1|Capacitor|C5|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
9|C6|Cap|Cap|1|Capacitor|C6|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
10|C7|Cap|Cap|1|Capacitor|C7|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
11|C8|Cap|Cap|1|Capacitor|C8|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
12|C9|Cap|Cap|1|Capacitor|C9|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
13|C10|Cap|stable SS Kost|1|Capacitor|C10|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
14|C11|Cap|stable KS Kost|1|Capacitor|C11|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
15|C12|Cap|Vesta-IK30|1|Capacitor|C12|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
